ID_Linha,ID_Pedido,Data_Pedido,Data_Envio,Modo_Envio,ID_Cliente,Nome_Cliente,Segmento,Pais,Cidade,Estado,Cep,Regiao,ID_Produto,Categoria,SubCategoria,Nome_Produto,Preco_Dolar,Preco,Quantidade,Desconto,Lucro,"4,97"
297,CA-2014-111451,26/12/2014,28/12/2014,First Class,KL-16555,Kelly Lampkin,Corporativo ,United States,Colorado Springs,Colorado,80906,West,OFF-BI-10004593,Material de escritório,Binders,Ibico Laser Imprintable Binding System Covers,"78,6","390,642",5,"0,7","-62,88",
298,CA-2014-111451,26/12/2014,28/12/2014,First Class,KL-16555,Kelly Lampkin,Corporativo ,United States,Colorado Springs,Colorado,80906,West,OFF-FA-10004854,Material de escritório,Fasteners,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box","27,552","136,93344",3,"0,2","9,2988",
299,CA-2016-142545,28/10/2016,03/11/2016,Standard Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Belleville,New Jersey,7109,East,OFF-PA-10002105,Material de escritório,Paper,Xerox 223,"32,4","161,028",5,0,"15,552",
300,CA-2016-142545,28/10/2016,03/11/2016,Standard Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Belleville,New Jersey,7109,East,OFF-ST-10002756,Material de escritório,Storage,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand","1082,48","5379,9256",8,0,"10,8248",
301,CA-2016-142545,28/10/2016,03/11/2016,Standard Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Belleville,New Jersey,7109,East,OFF-PA-10004243,Material de escritório,Paper,Xerox 1939,"56,91","282,8427",3,0,"27,3168",
302,CA-2016-142545,28/10/2016,03/11/2016,Standard Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Belleville,New Jersey,7109,East,FUR-FU-10001861,Mobiliário,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts","77,6","385,672",4,0,"38,024",
303,CA-2016-142545,28/10/2016,03/11/2016,Standard Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Belleville,New Jersey,7109,East,OFF-BI-10002706,Material de escritório,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,"14,28","70,9716",1,0,"6,5688",
304,US-2017-152380,19/11/2017,23/11/2017,Standard Class,JH-15910,Jonathan Howell,Consumidor,United States,Chicago,Illinois,60623,Central,FUR-TA-10002533,Mobiliário,Tables,BPI Conference Tables,"219,075","1088,80275",3,"0,5","-131,445",
305,CA-2015-144253,04/05/2015,09/05/2015,Second Class,AS-10225,Alan Schoenberger,Corporativo ,United States,New York City,New York,10024,East,FUR-FU-10002671,Mobiliário,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,"26,8","133,196",2,0,"12,864",
306,CA-2014-130960,30/12/2014,04/01/2015,Standard Class,KB-16600,Ken Brennan,Corporativo ,United States,Taylor,Michigan,48180,Central,OFF-AR-10003651,Material de escritório,Art,Newell 350,"9,84","48,9048",3,0,"2,8536",
307,CA-2014-111003,01/06/2014,06/06/2014,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,OFF-BI-10001072,Material de escritório,Binders,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack","45,48","226,0356",3,0,"20,9208",
308,CA-2014-111003,01/06/2014,06/06/2014,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,OFF-AR-10002135,Material de escritório,Art,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,"289,2","1437,324",6,0,"83,868",
309,CA-2017-126774,15/04/2017,17/04/2017,First Class,SH-20395,Shahid Hopkins,Consumidor,United States,Arlington,Virginia,22204,South,OFF-AR-10002804,Material de escritório,Art,Faber Castell Col-Erase Pencils,"4,89","24,3033",1,0,"2,0049",
310,CA-2016-142902,12/09/2016,14/09/2016,Second Class,BP-11185,Ben Peterman,Corporativo ,United States,Arvada,Colorado,80004,West,FUR-FU-10001918,Mobiliário,Furnishings,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,"15,136","75,22592",4,"0,2","3,5948",
311,CA-2016-142902,12/09/2016,14/09/2016,Second Class,BP-11185,Ben Peterman,Corporativo ,United States,Arvada,Colorado,80004,West,FUR-CH-10004086,Mobiliário,Chairs,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,"466,768","2319,83696",2,"0,2","52,5114",
312,CA-2016-142902,12/09/2016,14/09/2016,Second Class,BP-11185,Ben Peterman,Corporativo ,United States,Arvada,Colorado,80004,West,FUR-FU-10001756,Mobiliário,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany","15,232","75,70304",1,"0,2","1,7136",
313,CA-2016-142902,12/09/2016,14/09/2016,Second Class,BP-11185,Ben Peterman,Corporativo ,United States,Arvada,Colorado,80004,West,OFF-LA-10000634,Material de escritório,Labels,Avery 509,"6,264","31,13208",3,"0,2","2,0358",
314,CA-2014-120887,27/09/2014,03/10/2014,Standard Class,TS-21205,Thomas Seio,Corporativo ,United States,Hackensack,New Jersey,7601,East,FUR-FU-10001588,Mobiliário,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black","87,54","435,0738",3,0,"37,6422",
315,CA-2014-167850,09/08/2014,16/08/2014,Standard Class,AG-10525,Andy Gerbode,Corporativo ,United States,Saint Petersburg,Florida,33710,South,TEC-PH-10002398,Tecnologia ,Phones,AT&T 1070 Corded Phone,"178,384","886,56848",2,"0,2","22,298",
316,CA-2014-167850,09/08/2014,16/08/2014,Standard Class,AG-10525,Andy Gerbode,Corporativo ,United States,Saint Petersburg,Florida,33710,South,OFF-PA-10001937,Material de escritório,Paper,Xerox 21,"15,552","77,29344",3,"0,2","5,4432",
317,CA-2014-164259,28/12/2014,30/12/2014,First Class,SP-20860,Sung Pak,Corporativo ,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003373,Material de escritório,Art,"Boston School Pro Electric Pencil Sharpener, 1670","99,136","492,70592",4,"0,2","8,6744",
318,CA-2014-164973,04/11/2014,09/11/2014,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,FUR-CH-10002602,Mobiliário,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,"135,882","675,33354",1,"0,1","24,1568",
319,CA-2014-164973,04/11/2014,09/11/2014,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,TEC-MA-10002927,Tecnologia ,Machines,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,"3991,98","19840,1406",2,0,"1995,99",
320,CA-2014-164973,04/11/2014,09/11/2014,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,TEC-PH-10004093,Tecnologia ,Phones,Panasonic Kx-TS550,"275,94","1371,4218",6,0,"80,0226",
321,CA-2014-164973,04/11/2014,09/11/2014,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,TEC-AC-10000892,Tecnologia ,Accessories,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,360,"1789,2",4,0,"129,6",
322,CA-2014-164973,04/11/2014,09/11/2014,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,OFF-ST-10002974,Material de escritório,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black","43,57","216,5429",1,0,"13,071",
323,CA-2014-156601,19/09/2014,24/09/2014,Standard Class,FA-14230,Frank Atkinson,Corporativo ,United States,Long Beach,California,90805,West,OFF-FA-10000624,Material de escritório,Fasteners,OIC Binder Clips,"7,16","35,5852",2,0,"3,58",
324,CA-2016-162138,23/04/2016,27/04/2016,Standard Class,GK-14620,Grace Kelly,Corporativo ,United States,Hesperia,California,92345,West,OFF-BI-10004593,Material de escritório,Binders,Ibico Laser Imprintable Binding System Covers,"251,52","1250,0544",6,"0,2","81,744",
325,CA-2016-162138,23/04/2016,27/04/2016,Standard Class,GK-14620,Grace Kelly,Corporativo ,United States,Hesperia,California,92345,West,TEC-AC-10001908,Tecnologia ,Accessories,Logitech Wireless Headset h800,"99,99","496,9503",1,0,"34,9965",
326,CA-2017-153339,03/11/2017,05/11/2017,Second Class,DJ-13510,Don Jones,Corporativo ,United States,Murfreesboro,Tennessee,37130,South,FUR-FU-10001967,Mobiliário,Furnishings,Telescoping Adjustable Floor Lamp,"15,992","79,48024",1,"0,2","0,9995",
327,US-2016-141544,30/08/2016,01/09/2016,First Class,PO-18850,Patrick O'Brill,Consumidor,United States,Philadelphia,Pennsylvania,19143,East,TEC-PH-10003645,Tecnologia ,Phones,Aastra 57i VoIP phone,"290,898","1445,76306",3,"0,4","-67,8762",
328,US-2016-141544,30/08/2016,01/09/2016,First Class,PO-18850,Patrick O'Brill,Consumidor,United States,Philadelphia,Pennsylvania,19143,East,OFF-ST-10000675,Material de escritório,Storage,"File Shuttle II and Handi-File, Black","54,224","269,49328",2,"0,2","3,389",
329,US-2016-141544,30/08/2016,01/09/2016,First Class,PO-18850,Patrick O'Brill,Consumidor,United States,Philadelphia,Pennsylvania,19143,East,FUR-CH-10003312,Mobiliário,Chairs,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,"786,744","3910,11768",4,"0,3","-258,5016",
330,US-2016-141544,30/08/2016,01/09/2016,First Class,PO-18850,Patrick O'Brill,Consumidor,United States,Philadelphia,Pennsylvania,19143,East,OFF-LA-10001074,Material de escritório,Labels,Round Specialty Laser Printer Labels,"100,24","498,1928",10,"0,2","33,831",
331,US-2016-141544,30/08/2016,01/09/2016,First Class,PO-18850,Patrick O'Brill,Consumidor,United States,Philadelphia,Pennsylvania,19143,East,OFF-BI-10001524,Material de escritório,Binders,GBC Premium Transparent Covers with Diagonal Lined Pattern,"37,764","187,68708",6,"0,7","-27,6936",
332,US-2016-150147,25/04/2016,29/04/2016,Second Class,JL-15850,John Lucas,Consumidor,United States,Philadelphia,Pennsylvania,19134,East,TEC-PH-10004614,Tecnologia ,Phones,AT&T 841000 Phone,"82,8","411,516",2,"0,4","-20,7",
333,US-2016-150147,25/04/2016,29/04/2016,Second Class,JL-15850,John Lucas,Consumidor,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001153,Material de escritório,Binders,Ibico Recycled Grain-Textured Covers,"20,724","102,99828",2,"0,7","-13,816",
334,US-2016-150147,25/04/2016,29/04/2016,Second Class,JL-15850,John Lucas,Consumidor,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10001982,Material de escritório,Binders,Wilson Jones Custom Binder Spines & Labels,"4,896","24,33312",3,"0,7","-3,4272",
335,CA-2015-137946,01/09/2015,04/09/2015,Second Class,DB-13615,Doug Bickford,Consumidor,United States,Los Angeles,California,90045,West,OFF-BI-10001922,Material de escritório,Binders,Storex Dura Pro Binders,"4,752","23,61744",1,"0,2","1,6038",
336,CA-2015-137946,01/09/2015,04/09/2015,Second Class,DB-13615,Doug Bickford,Consumidor,United States,Los Angeles,California,90045,West,TEC-CO-10001449,Tecnologia ,Copiers,Hewlett Packard LaserJet 3310 Copier,"959,984","4771,12048",2,"0,2","335,9944",
337,CA-2015-137946,01/09/2015,04/09/2015,Second Class,DB-13615,Doug Bickford,Consumidor,United States,Los Angeles,California,90045,West,OFF-BI-10004140,Material de escritório,Binders,Avery Non-Stick Binders,"14,368","71,40896",4,"0,2","4,49",
338,CA-2014-129924,12/07/2014,17/07/2014,Standard Class,AC-10420,Alyssa Crouse,Corporativo ,United States,San Francisco,California,94122,West,OFF-BI-10003314,Material de escritório,Binders,Tuff Stuff Recycled Round Ring Binders,"7,712","38,32864",2,"0,2","2,7956",
339,CA-2014-129924,12/07/2014,17/07/2014,Standard Class,AC-10420,Alyssa Crouse,Corporativo ,United States,San Francisco,California,94122,West,FUR-TA-10004575,Mobiliário,Tables,Hon 5100 Series Wood Tables,"698,352","3470,80944",3,"0,2","-17,4588",
340,CA-2015-128167,22/06/2015,26/06/2015,Second Class,KL-16645,Ken Lonsdale,Consumidor,United States,Layton,Utah,84041,West,OFF-FA-10000490,Material de escritório,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black","4,96","24,6512",4,0,"2,3312",
341,CA-2014-122336,13/04/2014,17/04/2014,Second Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10000122,Material de escritório,Art,Newell 314,"17,856","88,74432",4,"0,2","1,116",
342,CA-2014-122336,13/04/2014,17/04/2014,Second Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10003656,Material de escritório,Binders,Fellowes PB200 Plastic Comb Binding Machine,"509,97","2534,5509",10,"0,7","-407,976",
343,CA-2014-122336,13/04/2014,17/04/2014,Second Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Philadelphia,Pennsylvania,19140,East,OFF-FA-10002780,Material de escritório,Fasteners,Staples,"30,992","154,03024",13,"0,2","10,0724",
344,CA-2014-122336,13/04/2014,17/04/2014,Second Class,JD-15895,Jonathan Doherty,Corporativo ,United States,Philadelphia,Pennsylvania,19140,East,TEC-PH-10000702,Tecnologia ,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","71,928","357,48216",12,"0,4","8,3916",
345,US-2015-120712,20/12/2015,24/12/2015,Standard Class,CS-12130,Chad Sievert,Consumidor,United States,Austin,Texas,78745,Central,OFF-ST-10000107,Material de escritório,Storage,Fellowes Super Stor/Drawer,"88,8","441,336",4,"0,2","-2,22",
346,CA-2017-169901,15/06/2017,19/06/2017,Standard Class,CC-12550,Clay Cheatham,Consumidor,United States,San Francisco,California,94122,West,TEC-PH-10002293,Tecnologia ,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"47,976","238,44072",3,"0,2","4,7976",
347,CA-2017-134306,08/07/2017,12/07/2017,Standard Class,TD-20995,Tamara Dahlen,Consumidor,United States,Lowell,Massachusetts,1852,East,OFF-AR-10004027,Material de escritório,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","7,56","37,5732",3,0,"3,0996",
348,CA-2017-134306,08/07/2017,12/07/2017,Standard Class,TD-20995,Tamara Dahlen,Consumidor,United States,Lowell,Massachusetts,1852,East,OFF-PA-10000249,Material de escritório,Paper,Easy-staple paper,"24,56","122,0632",2,0,"11,5432",
349,CA-2017-134306,08/07/2017,12/07/2017,Standard Class,TD-20995,Tamara Dahlen,Consumidor,United States,Lowell,Massachusetts,1852,East,OFF-AR-10001374,Material de escritório,Art,"BIC Brite Liner Highlighters, Chisel Tip","12,96","64,4112",2,0,"4,1472",
350,CA-2016-129714,01/09/2016,03/09/2016,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,TEC-AC-10000290,Tecnologia ,Accessories,Sabrent 4-Port USB 2.0 Hub,"6,79","33,7463",1,0,"2,3086",
351,CA-2016-129714,01/09/2016,03/09/2016,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-PA-10001970,Material de escritório,Paper,Xerox 1881,"24,56","122,0632",2,0,"11,5432",
352,CA-2016-129714,01/09/2016,03/09/2016,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-BI-10002160,Material de escritório,Binders,Acco Hanging Data Binders,"3,048","15,14856",1,"0,2","1,0668",
353,CA-2016-129714,01/09/2016,03/09/2016,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-PA-10001970,Material de escritório,Paper,Xerox 1881,"49,12","244,1264",4,0,"23,0864",
354,CA-2016-129714,01/09/2016,03/09/2016,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,OFF-BI-10004995,Material de escritório,Binders,GBC DocuBind P400 Electric Binding System,"4355,168","21645,18496",4,"0,2","1415,4296",
355,CA-2016-138520,08/04/2016,13/04/2016,Standard Class,JL-15505,Jeremy Lonsdale,Consumidor,United States,New York City,New York,10035,East,FUR-BO-10002268,Mobiliário,Bookcases,Sauder Barrister Bookcases,"388,704","1931,85888",6,"0,2","-4,8588",
356,CA-2016-138520,08/04/2016,13/04/2016,Standard Class,JL-15505,Jeremy Lonsdale,Consumidor,United States,New York City,New York,10035,East,OFF-EN-10001137,Material de escritório,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box","8,26","41,0522",2,0,"3,7996",
357,CA-2016-138520,08/04/2016,13/04/2016,Standard Class,JL-15505,Jeremy Lonsdale,Consumidor,United States,New York City,New York,10035,East,OFF-AR-10002399,Material de escritório,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush","17,04","84,6888",4,0,"6,9864",
358,CA-2016-138520,08/04/2016,13/04/2016,Standard Class,JL-15505,Jeremy Lonsdale,Consumidor,United States,New York City,New York,10035,East,OFF-PA-10002713,Material de escritório,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”","34,4","170,968",5,0,"15,824",
359,CA-2016-130001,23/04/2016,28/04/2016,Standard Class,HK-14890,Heather Kirkland,Corporativo ,United States,Charlotte,North Carolina,28205,South,OFF-PA-10002666,Material de escritório,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,"36,24","180,1128",5,"0,2","11,325",
360,CA-2017-155698,08/03/2017,11/03/2017,First Class,VB-21745,Victoria Brennan,Corporativo ,United States,Columbus,Georgia,31907,South,OFF-AP-10001124,Material de escritório,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,"647,84","3219,7648",8,0,"168,4384",
361,CA-2017-155698,08/03/2017,11/03/2017,First Class,VB-21745,Victoria Brennan,Corporativo ,United States,Columbus,Georgia,31907,South,OFF-LA-10001158,Material de escritório,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""","20,7","102,879",2,0,"9,936",
362,CA-2017-144904,25/09/2017,01/10/2017,Standard Class,KW-16435,Katrina Willman,Consumidor,United States,New York City,New York,10009,East,OFF-LA-10001158,Material de escritório,Labels,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""","20,7","102,879",2,0,"9,936",
363,CA-2017-144904,25/09/2017,01/10/2017,Standard Class,KW-16435,Katrina Willman,Consumidor,United States,New York City,New York,10009,East,FUR-CH-10000785,Mobiliário,Chairs,Global Ergonomic Managers Chair,"488,646","2428,57062",3,"0,1","86,8704",
364,CA-2017-144904,25/09/2017,01/10/2017,Standard Class,KW-16435,Katrina Willman,Consumidor,United States,New York City,New York,10009,East,OFF-AR-10003732,Material de escritório,Art,Newell 333,"5,56","27,6332",2,0,"1,4456",
365,CA-2017-144904,25/09/2017,01/10/2017,Standard Class,KW-16435,Katrina Willman,Consumidor,United States,New York City,New York,10009,East,FUR-FU-10000023,Mobiliário,Furnishings,Eldon Wave Desk Accessories,"47,12","234,1864",8,0,"20,7328",
366,CA-2014-123344,24/09/2014,29/09/2014,Standard Class,JD-16060,Julia Dunbar,Consumidor,United States,San Francisco,California,94109,West,OFF-ST-10001713,Material de escritório,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black","211,96","1053,4412",4,0,"8,4784",
367,CA-2016-155516,21/10/2016,21/10/2016,Same Day,MK-17905,Michael Kennedy,Corporativo ,United States,Manchester,Connecticut,6040,East,OFF-BI-10002412,Material de escritório,Binders,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,"23,2","115,304",4,0,"10,44",
368,CA-2016-155516,21/10/2016,21/10/2016,Same Day,MK-17905,Michael Kennedy,Corporativo ,United States,Manchester,Connecticut,6040,East,OFF-SU-10001225,Material de escritório,Supplies,Staple remover,"7,36","36,5792",2,0,"0,1472",
369,CA-2016-155516,21/10/2016,21/10/2016,Same Day,MK-17905,Michael Kennedy,Corporativo ,United States,Manchester,Connecticut,6040,East,OFF-ST-10002406,Material de escritório,Storage,Pizazz Global Quick File,"104,79","520,8063",7,0,"29,3412",
370,CA-2016-155516,21/10/2016,21/10/2016,Same Day,MK-17905,Michael Kennedy,Corporativo ,United States,Manchester,Connecticut,6040,East,FUR-BO-10002545,Mobiliário,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","1043,92","5188,2824",4,0,"271,4192",
371,CA-2017-104745,29/05/2017,04/06/2017,Standard Class,GT-14755,Guy Thornton,Consumidor,United States,Harlingen,Texas,78550,Central,OFF-PA-10002036,Material de escritório,Paper,Xerox 1930,"25,92","128,8224",5,"0,2","9,396",
372,CA-2017-104745,29/05/2017,04/06/2017,Standard Class,GT-14755,Guy Thornton,Consumidor,United States,Harlingen,Texas,78550,Central,OFF-ST-10002205,Material de escritório,Storage,File Shuttle I and Handi-File,"53,424","265,51728",3,"0,2","4,6746",
373,US-2014-119137,23/07/2014,27/07/2014,Standard Class,AG-10900,Arthur Gainer,Consumidor,United States,Tucson,Arizona,85705,West,OFF-BI-10001982,Material de escritório,Binders,Wilson Jones Custom Binder Spines & Labels,"8,16","40,5552",5,"0,7","-5,712",
374,US-2014-119137,23/07/2014,27/07/2014,Standard Class,AG-10900,Arthur Gainer,Consumidor,United States,Tucson,Arizona,85705,West,TEC-AC-10003911,Tecnologia ,Accessories,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,"1023,936","5088,96192",8,"0,2","179,1888",
375,US-2014-119137,23/07/2014,27/07/2014,Standard Class,AG-10900,Arthur Gainer,Consumidor,United States,Tucson,Arizona,85705,West,OFF-AR-10000658,Material de escritório,Art,Newell 324,"9,24","45,9228",1,"0,2","0,924",
376,US-2014-119137,23/07/2014,27/07/2014,Standard Class,AG-10900,Arthur Gainer,Consumidor,United States,Tucson,Arizona,85705,West,TEC-AC-10002076,Tecnologia ,Accessories,Microsoft Natural Keyboard Elite,"479,04","2380,8288",10,"0,2","-29,94",
377,US-2016-134656,28/09/2016,01/10/2016,First Class,MM-18280,Muhammed MacIntyre,Corporativo ,United States,Quincy,Illinois,62301,Central,OFF-PA-10003039,Material de escritório,Paper,Xerox 1960,"99,136","492,70592",4,"0,2","30,98",
378,US-2017-134481,27/08/2017,01/09/2017,Standard Class,AR-10405,Allen Rosenblatt,Corporativo ,United States,Franklin,Massachusetts,2038,East,FUR-TA-10004915,Mobiliário,Tables,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D","1488,424","7397,46728",7,"0,3","-297,6848",
379,CA-2015-130792,28/04/2015,05/05/2015,Standard Class,RA-19915,Russell Applegate,Consumidor,United States,Houston,Texas,77095,Central,OFF-AP-10000696,Material de escritório,Appliances,Holmes Odor Grabber,"8,652","43,00044",3,"0,8","-20,3322",
380,CA-2015-130792,28/04/2015,05/05/2015,Standard Class,RA-19915,Russell Applegate,Consumidor,United States,Houston,Texas,77095,Central,OFF-ST-10003327,Material de escritório,Storage,Akro-Mils 12-Gallon Tote,"23,832","118,44504",3,"0,2","2,6811",
381,CA-2015-130792,28/04/2015,05/05/2015,Standard Class,RA-19915,Russell Applegate,Consumidor,United States,Houston,Texas,77095,Central,OFF-BI-10000309,Material de escritório,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","12,176","60,51472",4,"0,8","-18,8728",
382,CA-2016-134775,28/10/2016,29/10/2016,First Class,AS-10285,Alejandro Savely,Corporativo ,United States,San Francisco,California,94109,West,OFF-PA-10004734,Material de escritório,Paper,Southworth Structures Collection,"50,96","253,2712",7,0,"25,48",
383,CA-2016-134775,28/10/2016,29/10/2016,First Class,AS-10285,Alejandro Savely,Corporativo ,United States,San Francisco,California,94109,West,OFF-BI-10002225,Material de escritório,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""","49,536","246,19392",3,"0,2","17,3376",
384,CA-2015-125395,26/06/2015,29/06/2015,Second Class,LA-16780,Laura Armstrong,Corporativo ,United States,Taylor,Michigan,48180,Central,TEC-AC-10004708,Tecnologia ,Accessories,Sony 32GB Class 10 Micro SDHC R40 Memory Card,"41,9","208,243",2,0,"8,799",
385,US-2015-168935,27/11/2015,02/12/2015,Standard Class,DO-13435,Denny Ordway,Consumidor,United States,Pembroke Pines,Florida,33024,South,FUR-TA-10000617,Mobiliário,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal","375,4575","1866,023775",3,"0,45","-157,0095",
386,US-2015-168935,27/11/2015,02/12/2015,Standard Class,DO-13435,Denny Ordway,Consumidor,United States,Pembroke Pines,Florida,33024,South,TEC-AC-10002335,Tecnologia ,Accessories,Logitech Media Keyboard K200,"83,976","417,36072",3,"0,2","-1,0497",
387,CA-2015-122756,03/12/2015,07/12/2015,Standard Class,DK-13225,Dean Katz,Corporativo ,United States,Philadelphia,Pennsylvania,19140,East,TEC-MA-10001681,Tecnologia ,Machines,Lexmark MarkNet N8150 Wireless Print Server,"482,34","2397,2298",4,"0,7","-337,638",
388,CA-2015-122756,03/12/2015,07/12/2015,Standard Class,DK-13225,Dean Katz,Corporativo ,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10001935,Mobiliário,Furnishings,3M Hangers With Command Adhesive,"2,96","14,7112",1,"0,2","0,777",
389,CA-2014-115973,24/11/2014,26/11/2014,First Class,NG-18430,Nathan Gelder,Consumidor,United States,Cincinnati,Ohio,45231,East,OFF-AR-10004757,Material de escritório,Art,Crayola Colored Pencils,"2,624","13,04128",1,"0,2","0,4264",
390,CA-2017-101798,11/12/2017,15/12/2017,Standard Class,MV-18190,Mike Vittorini,Consumidor,United States,New York City,New York,10009,East,OFF-BI-10000050,Material de escritório,Binders,"Angle-D Binders with Locking Rings, Label Holders","23,36","116,0992",4,"0,2","7,884",
391,CA-2017-101798,11/12/2017,15/12/2017,Standard Class,MV-18190,Mike Vittorini,Consumidor,United States,New York City,New York,10009,East,TEC-AC-10001998,Tecnologia ,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,"39,98","198,7006",2,0,"13,5932",
392,US-2014-135972,21/09/2014,23/09/2014,Second Class,JG-15115,Jack Garza,Consumidor,United States,Des Moines,Washington,98198,West,TEC-PH-10003012,Tecnologia ,Phones,Nortel Meridian M3904 Professional Digital phone,"246,384","1224,52848",2,"0,2","27,7182",
393,US-2014-135972,21/09/2014,23/09/2014,Second Class,JG-15115,Jack Garza,Consumidor,United States,Des Moines,Washington,98198,West,TEC-CO-10002313,Tecnologia ,Copiers,Canon PC1080F Personal Copier,"1799,97","8945,8509",3,0,"701,9883",
394,US-2014-134971,07/06/2014,10/06/2014,Second Class,BP-11095,Bart Pistole,Corporativo ,United States,Peoria,Illinois,61604,Central,OFF-BI-10003982,Material de escritório,Binders,Wilson Jones Century Plastic Molded Ring Binders,"12,462","61,93614",3,"0,8","-20,5623",
395,CA-2017-102946,30/06/2017,05/07/2017,Standard Class,VP-21730,Victor Preis,Home Office,United States,Las Vegas,Nevada,89115,West,OFF-BI-10004492,Material de escritório,Binders,Tuf-Vin Binders,"75,792","376,68624",3,"0,2","25,5798",
396,CA-2017-165603,17/10/2017,19/10/2017,Second Class,SS-20140,Saphhira Shifley,Corporativo ,United States,Warwick,Rhode Island,2886,East,OFF-ST-10000798,Material de escritório,Storage,2300 Heavy-Duty Transfer File Systems by Perma,"49,96","248,3012",2,0,"9,4924",
397,CA-2017-165603,17/10/2017,19/10/2017,Second Class,SS-20140,Saphhira Shifley,Corporativo ,United States,Warwick,Rhode Island,2886,East,OFF-PA-10002552,Material de escritório,Paper,Xerox 1958,"12,96","64,4112",2,0,"6,2208",
398,CA-2015-122259,31/10/2015,04/11/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Jackson,Michigan,49201,Central,OFF-SU-10002573,Material de escritório,Supplies,"Acme 10"" Easy Grip Assistive Scissors","70,12","348,4964",4,0,"21,036",
